,소분류코드,중분류명,소분류명
114,A080117,명품,명품보석
115,A080119,명품,주얼리멀티
116,A080120,명품,명품멀티기타
117,A080121,명품,엘리든
118,A080123,명품,남성해외패션
119,A080124,명품,갤러리
120,A090101,주방용품,수입주방
121,A090102,주방용품,주방잡화
122,A090103,주방용품,수      저
123,A090104,주방용품,국산주방
124,A090105,주방용품,주방단기행사
125,A090107,주방용품,휴모니아
126,A090108,주방용품,주방 단독매입
127,A090109,주방용품,토탈리빙
128,A090110,주방용품,한샘
129,A090201,문구/팬시,서적
130,A090202,문구/팬시,필기류
131,A090301,생활잡화,생화
132,A090302,생활잡화,이미용
133,A090304,생활잡화,타월
134,A090305,생활잡화,욕실용품
135,A090306,생활잡화,매트
136,A090307,생활잡화,장식소품
137,A090308,생활잡화,토탈데코
138,A090309,생활잡화,그림
139,A090311,생활잡화,소품가구
140,A090312,생활잡화,기능성침대
141,A090401,식기,크리스탈
142,A090402,식기,그라스
143,A090403,식기,국산도자기
144,A090405,식기,전통도자기
145,A090406,식기,식기단기행사
146,A090407,식기,락앤락
147,A090501,가구,종합가구
148,A090502,가구,수입가구
149,A090503,가구,침대
150,A090504,가구,소파
151,A090506,가구,원목학생철재
152,A090507,가구,일반침대
153,A090508,가구,건강침대
154,A090509,가구,일반침대(에이스)
155,A090601,침구/수예,카페트
156,A090602,침구/수예,N.B
157,A090603,침구/수예,L.B
158,A090604,침구/수예,수입침구
159,A090605,침구/수예,한실침구
160,A090608,침구/수예,수예단기행사
161,A090609,침구/수예,건강베개
162,A090610,침구/수예,아동침구
163,A090701,웨딩,웨딩
164,B010101,열매채소,가지
165,B010102,열매채소,고추
166,B010103,열매채소,구색 호박
167,B010104,열매채소,기타열매채소
168,B010105,열매채소,단호박
169,B010106,열매채소,애호박
170,B010107,열매채소,여주
171,B010108,열매채소,오이
172,B010109,열매채소,옥수수
173,B010110,열매채소,친환경열매채소
174,B010111,열매채소,콩류
175,B010112,열매채소,피망
176,B010201,버섯,건버섯
177,B010202,버섯,느타리버섯
178,B010203,버섯,버섯모둠
179,B010204,버섯,버섯선물세트
180,B010205,버섯,새송이버섯
181,B010206,버섯,양송이버섯
182,B010207,버섯,이색버섯
183,B010208,버섯,팽이버섯
184,B010209,버섯,표고버섯
185,B010301,온라인버섯/열매채소,온라인열매채소
186,B020101,조리반찬,나물/부침
187,B020102,조리반찬,반찬류
188,B020103,조리반찬,젓갈류
189,B020104,조리반찬,즉석김치류
190,B020105,조리반찬,즉석국탕/볶음
191,B020201,시즌반찬,제철반찬
192,B020202,시즌반찬,김장김치
193,B030101,포장젓갈,저염젓갈
194,B030102,포장젓갈,일반젓갈
195,B030201,포장반찬,절임반찬
196,B030202,포장반찬,조림반찬
197,B030203,포장반찬,메인요리
198,B030204,포장반찬,볶음/무침반찬
199,B040101,양곡,일반미
200,B040102,양곡,기능성미
201,B040103,양곡,친환경양곡
202,B040201,잡곡류,미곡류
203,B040202,잡곡류,콩류
204,B040203,잡곡류,보리류
205,B040204,잡곡류,잡곡기타
206,B040205,잡곡류,혼합잡곡
207,B040206,잡곡류,친환경잡곡
208,B040207,잡곡류,벌크잡곡
209,B040301,즉석도정미,즉석도정미
210,B040302,즉석도정미,친환경도정미
211,B040401,가공양곡,양곡가공
212,B050101,잎채소,시금치
213,B050102,잎채소,상추
214,B050103,잎채소,미나리
215,B050104,잎채소,부추
216,B050105,잎채소,쑥갓
217,B050106,잎채소,깻잎
218,B050107,잎채소,얼갈이
219,B050108,잎채소,아욱
220,B050109,잎채소,근대
221,B050110,잎채소,양배추
222,B050111,잎채소,기타잎채소
223,B050112,잎채소,쌈채소
224,B050113,잎채소,봄동
225,B050114,잎채소,죽순
226,B050115,잎채소,고구마순
227,B050116,잎채소,생나물
228,B050117,잎채소,친환경채소(특약)
229,B050118,잎채소,친환경잎채소
230,B050119,잎채소,온라인 잎채소
231,B050201,뿌리채소,감자
232,B050202,뿌리채소,고구마
233,B050203,뿌리채소,당근
234,B050204,뿌리채소,연근
235,B050205,뿌리채소,우엉
236,B050206,뿌리채소,마
237,B050207,뿌리채소,기타뿌리채소
238,B050301,열매채소,오이
239,B050302,열매채소,고추
240,B050303,열매채소,피망
241,B050304,열매채소,콩류
242,B050305,열매채소,옥수수
243,B050306,열매채소,가지
244,B050307,열매채소,기타과채류
245,B050308,열매채소,애호박
246,B050309,열매채소,단호박
247,B050310,열매채소,기타호박
248,B050311,열매채소,다다기오이
249,B050312,열매채소,취청오이
250,B050313,열매채소,가시오이
251,B050314,열매채소,기타오이
252,B050401,버섯류,건버섯
253,B050402,버섯류,버섯모둠
254,B050403,버섯류,친환경팽이버섯
255,B050404,버섯류,표고버섯
256,B050405,버섯류,일반느타리버섯
257,B050406,버섯류,양송이버섯
258,B050407,버섯류,새송이버섯
259,B050408,버섯류,기타버섯
260,B050409,버섯류,친환경참맛느타리
261,B050410,버섯류,버섯류 선물세트
262,B050501,샐러드채소,파프리카
263,B050502,샐러드채소,양상추
264,B050503,샐러드채소,브로콜리
265,B050504,샐러드채소,구색양채
266,B050505,샐러드채소,기타양채
267,B050506,샐러드채소,즙용양채
268,B050507,샐러드채소,아스파라거스
269,B050508,샐러드채소,샐러드채소
270,B050509,샐러드채소,구색샐러드채소
271,B050510,샐러드채소,즙용샐러드채소
272,B050511,샐러드채소,친환경샐러드채소
273,B050512,샐러드채소,향신채소
274,B050601,약초,인삼
275,A010101,일용잡화,위생세제
276,A010102,일용잡화,휴지류
277,A010103,일용잡화,뷰티상품
278,A010104,일용잡화,일용잡화
279,A010105,일용잡화,세트상품
280,A010106,일용잡화,단기행사
281,A010201,육류,우육
282,A010202,육류,돈육
283,A010203,육류,계육
284,A010204,육류,갈비세트
285,A010205,육류,정육세트
286,A010206,육류,수입육
287,A010207,육류,양념육
288,A010301,축산가공,햄
289,A010302,축산가공,유제품
290,A010303,축산가공,직매입
291,A010304,축산가공,화과자
292,A010305,축산가공,햄세트
293,A010306,축산가공,친환경올가
294,A010401,농산물,청과
295,A010402,농산물,채소
296,A010403,농산물,유기농채소
297,A010404,농산물,농산가공
298,A010405,농산물,건과
299,A010406,농산물,선식(가루류)
300,A010407,농산물,곡물
301,A010408,농산물,농산단기행사
302,A010409,농산물,청과세트
303,A010410,농산물,건과세트
304,A010411,농산물,곶감/송이세트
305,A010412,농산물,수삼/더덕세트
306,A010413,농산물,친환경세트
307,A010414,농산물,농산단기행사
308,A010501,수산품,생선
309,A010502,수산품,회
310,A010503,수산품,건생선
311,A010504,수산품,기타생선
312,A010505,수산품,냉동식품
313,A010506,수산품,냉동만두류
314,A010507,수산품,굴비류
315,A010508,수산품,멸치류
316,A010509,수산품,안주류
317,A010510,수산품,김류
318,A010511,수산품,즉석구이김류
319,A010512,수산품,건어물류
320,A010514,수산품,건어물세트
321,A010515,수산품,선어세트
322,A010516,수산품,굴비세트
323,A010517,수산품,안주세트
324,A010518,수산품,기타건생선세트
325,A010519,수산품,김세트
326,A010520,수산품,멸치세트
327,A010521,수산품,수산단기행사
328,A010601,가공식품,한식델리
329,A010602,가공식품,일식델리
330,A010603,가공식품,서양델리
331,A010604,가공식품,에스닉푸드
332,A010605,가공식품,중식델리
333,A010606,가공식품,초밥
334,A010607,가공식품,제과제빵
335,A010608,가공식품,일반가공식품
336,A010609,가공식품,특산물행사
337,A010610,가공식품,가공선물세트
338,A010611,가공식품,케익류
339,A010612,가공식품,양과자류
340,A010613,가공식품,전문베이커리
341,A010614,가공식품,떡
342,A010615,가공식품,한과
343,A010616,가공식품,한과(세트행사)
344,A010617,가공식품,양과(세트행사)
345,A010618,가공식품,반찬장류세트
346,A010619,가공식품,포숑
347,A010620,가공식품,수입단기행사
348,A010621,가공식품,기타베이커리
349,A010622,가공식품,즉석.스넥(매장)
350,A010623,가공식품,밥류
351,A010624,가공식품,면류
352,A010625,가공식품,패밀리레스토랑
353,A010626,가공식품,아이스크림
354,A010627,가공식품,커피숍
355,A010628,가공식품,KKD
356,A010629,가공식품,푸드코트
357,A010630,가공식품,브랑제리
358,A010631,가공식품,브랜드샵
359,A010632,가공식품,엔젤리너스
360,A010633,가공식품,롯데리아
361,A010634,가공식품,TGIF
362,A010635,가공식품,음료
363,A010636,가공식품,분식
364,A010637,가공식품,대형테넌트
365,A010638,가공식품,디저트카페
366,A010639,가공식품,양식
367,A010640,가공식품,일식
368,A010641,가공식품,한식
369,A010642,가공식품,중식
370,A010643,가공식품,패스트푸드
371,A010644,가공식품,식당가 한식
372,A010645,가공식품,식당가 중식
373,A010646,가공식품,식당가 일식
374,A010647,가공식품,식당가 양식
375,A010648,가공식품,식당가 커피숍
376,A010649,가공식품,식당가 아이스크림
377,A010650,가공식품,식당가 레스토랑
378,A010652,가공식품,생필(부대)
379,A010653,가공식품,스넥(부대)
380,A010654,가공식품,지방스넥(부대)
381,A010655,가공식품,델리(부대)
382,A010656,가공식품,레토르
383,A010701,젓갈/반찬,젓갈세트
384,A010702,젓갈/반찬,규격젓갈
385,A010703,젓갈/반찬,벌크젓갈
386,A010704,젓갈/반찬,규격김치
387,A010705,젓갈/반찬,벌크김치
388,A010706,젓갈/반찬,장류
389,A010707,젓갈/반찬,어묵
390,A010708,젓갈/반찬,가공행사
391,A010710,젓갈/반찬,즉석반찬
392,A010801,건강식품,건강식품(홍삼)
393,A010802,건강식품,건강식품
394,A010803,건강식품,건강식품(비타민)
395,A010901,주류,주류
396,A010903,주류,한차
397,A010904,주류,공병
398,A010905,주류,기타음료
399,A011002,차/커피,가공2단기행사
400,A011003,차/커피,원두커피
401,A011004,차/커피,수입식품
402,A011101,기타,PECK Restaurant
403,A011102,기타,PECK Enoteca
404,A011103,기타,PECK Fruits
405,A011105,기타,팩토리샵
406,A011106,기타,CJ팩토리샵
407,A011107,기타,스테이셔너리
408,A011108,기타,5 ON THE GO
409,A020101,섬유잡화,넥타이(특정)
410,A020102,섬유잡화,스카프(특정)
411,A020103,섬유잡화,양말(특정)
412,A020104,섬유잡화,손수건(특정)
413,A020105,섬유잡화,스타킹(특정)
414,A020107,섬유잡화,우/양산(특정)
415,A020108,섬유잡화,장갑(특정)
416,A020109,섬유잡화,기타
417,A020110,섬유잡화,누셀렉트샵
418,A020111,섬유잡화,모자(단기행사)
419,A020113,섬유잡화,무인양품
420,A020114,섬유잡화,영플라자(패션내의)
421,A020115,섬유잡화,영플라자(영트랜디)
422,A020116,섬유잡화,영플라자(기타)
423,A020201,액세서리,선글라스(특정)
424,A020202,액세서리,영플라자(패션)
425,A020203,액세서리,선글라스(단기행사)
426,A020205,액세서리,헤어
427,A020206,액세서리,수입ACC
428,A020207,액세서리,헤어ACC
429,A020209,액세서리,14K
430,A020210,액세서리,넥타이핀
431,A020212,액세서리,영플라자(장신)
432,A020213,액세서리,ACC Bloom (1F)
433,A020214,액세서리,ACC Bloom (3F)
434,A020301,화장품,화장품
435,A020302,화장품,기초 화장품
436,A020303,화장품,색조 화장품
437,A020304,화장품,향수
438,A020305,화장품,기타
439,A020306,화장품,기초A
440,A020307,화장품,영플라자(화장품)
441,A020308,화장품,영플라자 색조
442,A020309,화장품,아울렛(화장품)
443,A020310,화장품,아베다스파
444,A020312,화장품,남성 화장품
445,A020401,보석,조화
446,A020402,보석,보석
447,A020501,준보석/시계,시계
448,A020602,피혁잡화,직수입핸드백
449,A020603,피혁잡화,가방
450,A020604,피혁잡화,임대
451,A020606,피혁잡화,단기행사
452,A020607,피혁잡화,영플라자(핸드백)
453,A020609,피혁잡화,영플라자(구두)
454,A020701,구두,캐릭터 여화
455,A020702,구두,구두시즌
456,A020703,구두,캐릭터 남화
457,A020704,구두,구두단기행사
458,A020705,구두,NB 여화
459,A020706,구두,shoe`n shoe
460,A020707,구두,금강그룹
461,A020708,구두,정상구두
462,A020709,구두,캐주얼화
463,A020710,구두,파크랜드
464,A030101,아동,N/B 아동복
465,A030102,아동,L/C 아동복
466,A030103,아동,수입 아동복
467,A030104,아동,고정행사(아동복)
468,A030105,아동,아동잡화
469,A030106,아동,아동신발
470,A030107,아동,단기행사(아동복)
471,A030108,아동,키즈
472,A030109,아동,유아복
473,A030110,아동,유아용품
474,A030111,아동,내의
475,A030112,아동,완구
476,A030113,아동,토들러
477,A040201,캐주얼,영플라자 (올리브핫스텁)
478,A040202,캐주얼,영플라자(영캐주얼)
479,A040203,캐주얼,영플라자(진/유니)
480,A040204,캐주얼,영플라자(이지)
481,A040205,캐주얼,영플라자(스트리트)
482,A040206,캐주얼,올리브핫스텁
483,A040207,캐주얼,영플라자(영캐릭터)
484,A040208,캐주얼,영플라자(영밸류)
485,A040209,캐주얼,영밸류 캐주얼
486,A040210,캐주얼,영플라자(쿨캐주얼)
487,A040211,캐주얼,영플라자 컬처캐주얼
488,A040212,캐주얼,수입브릿지
489,A040213,캐주얼,수입캐주얼
490,A040214,캐주얼,캐릭터캐주얼
491,A040215,캐주얼,수입캐릭터
492,A040216,캐주얼,이지캐주얼(행사)
493,A040217,캐주얼,스트리트
494,A040218,캐주얼,UNIT
495,A040219,캐주얼,여성의류
496,A040220,캐주얼,영캐주얼
497,A040221,캐주얼,영캐주얼행사
498,A040222,캐주얼,영 캐릭터
499,A040223,캐주얼,영 트렌디
500,A040224,캐주얼,global SPA
501,A040225,캐주얼,영 컨템포러리
502,A040227,캐주얼,유니섹스캐주얼
503,A040228,캐주얼,진캐주얼
504,A040229,캐주얼,이지캐주얼
505,A040230,캐주얼,유니섹스캐주얼행사
506,A040231,캐주얼,쿨캐주얼
507,A040232,캐주얼,프리미엄진
508,A040233,캐주얼,컬처캐주얼
509,A040234,캐주얼,GR-8
510,A040235,캐주얼,SPACE 5.1
511,A040237,캐주얼,이지캐주얼
512,A040238,캐주얼,편집샵
513,A040239,캐주얼,진스퀘어
514,A040240,캐주얼,캐주얼피혁
515,A040241,캐주얼,캐주얼단품
516,A040242,캐주얼,비아스텔리나
517,A040243,캐주얼,라뉴
518,A040244,캐주얼,Theory
519,A040245,캐주얼,비트윈
520,A040246,캐주얼,Taste5.1
521,A040247,캐주얼,아울렛
522,A040248,캐주얼,영레깅스편집샵
523,A040249,캐주얼,global 편집샵
524,A040250,캐주얼,KHOS
525,A040251,캐주얼,영플라자(KHOS)
526,A040252,캐주얼,유니크샵
527,A040253,캐주얼,영플라자(영스트리트)
528,A040254,캐주얼,영스트리트
529,A040255,캐주얼,영플라자(영캐주얼행사)
530,A040256,캐주얼,카카오프렌즈
531,A040257,캐주얼,케이웨이 상품군
532,A040258,캐주얼,까르뜨블랑슈 상품군
533,A040259,캐주얼,펜필드 상품군
534,A040260,캐주얼,팀버랜드 상품군
535,A040261,캐주얼,지오투
536,A040301,커리어,Knit & Knot(캐슬플라자)
537,A040302,커리어,커리어
538,A040303,커리어,커리어 행사
539,A040304,커리어,커리어 단독매입
540,A040305,커리어,세이브더칠드런
541,A040306,커리어,밸류커리어
542,A040307,커리어,안토니모라토 상품군
543,A040308,커리어,크로커다일 상품군
544,A040401,트래디셔널,트래디셔널
545,A040501,시티웨어,Knit & Knot
546,A040502,시티웨어,엘레강스
547,A040503,시티웨어,시니어
548,A040504,시티웨어,나파피리상품군
549,A040601,란제리/내의,란제리
550,A040602,란제리/내의,패션내의
551,A040603,란제리/내의,란제리행사
552,A040604,란제리/내의,EC(해외잡화)
553,A040701,블라우스,더블라우스
554,A040801,기타의류,유니폼
555,A040802,기타의류,홈웨어
556,A040803,기타의류,니트단품
557,A040901,디자이너,디자이너
558,A040902,디자이너,디자이너부틱
559,A040903,디자이너,디자이너캐릭터
560,A041001,모피/피혁,모피
561,A041002,모피/피혁,피혁
562,A041003,모피/피혁,숙녀고정행사
563,A041004,모피/피혁,숙녀단기행사
564,A050101,남성정장,N.B정장
565,A050102,남성정장,직수입정장
566,A050103,남성정장,보기밀라노
567,A050104,남성정장,정장점행사
568,A050105,남성정장,갤럭시
569,A050106,남성정장,로가디스
570,A050107,남성정장,마에스트로
571,A050108,남성정장,캠브리지
572,A050109,남성정장,바쏘
573,A050110,남성정장,빨질레리
574,A050111,남성정장,니나리찌
575,A050112,남성정장,닥스
576,A050113,남성정장,킨록앤더슨
577,A050114,남성정장,다반
578,A050115,남성정장,브룩스브라더스
579,A050116,남성정장,아울렛엘지패션
580,A050201,남성캐주얼,시티캐주얼
581,A050202,남성캐주얼,캐주얼토털
582,A050203,남성캐주얼,시티정장바지
583,A050204,남성캐주얼,시티단기행사
584,A050205,남성캐주얼,남성잡화
585,A050206,남성캐주얼,Maniz
586,A050207,남성캐주얼,갤럭시라이프스타일
587,A050208,남성캐주얼,로가디스그린
588,A050209,남성캐주얼,일꼬르소
589,A050210,남성캐주얼,클럽캠브리지
590,A050211,남성캐주얼,프랑코페라로
591,A050212,남성캐주얼,인디안
592,A050213,남성캐주얼,아날도바시니
593,A050214,남성캐주얼,에디션
594,A050215,남성캐주얼,벨라모
595,A050216,남성캐주얼,프로메이드
596,A050217,남성캐주얼,옴스
597,A050218,남성캐주얼,피에르가르뎅
598,A050219,남성캐주얼,el Trail
599,A050220,남성캐주얼,OUTDOOR+1
600,A050221,남성캐주얼,Fitness Square
601,A050222,남성캐주얼,청백
602,A050223,남성캐주얼,다비드컬렉션
603,A050224,남성캐주얼,남성잡화ACC2
604,A050225,남성캐주얼,el Bicar
605,A050226,남성캐주얼,ARCHIV
606,A050227,남성캐주얼,MODIUM
607,A050228,남성캐주얼,Last Scene
608,A050229,남성캐주얼,Leg 5:3:2
609,A050230,남성캐주얼,건강수면샵
610,A050301,트래디셔널,수입화
611,A050302,트래디셔널,어반스타일
612,A050303,트래디셔널,트래디셔널Ⅱ
613,A050304,트래디셔널,el Travel
614,A050305,트래디셔널,빈폴상품군
615,A050306,트래디셔널,폴로상품군
616,A050307,트래디셔널,라코스테상품군
617,A050308,트래디셔널,타미힐피거상품군
618,A050309,트래디셔널,헤지스상품군
619,A050310,트래디셔널,헨리코튼상품군
620,A050311,트래디셔널,올젠상품군
621,A050312,트래디셔널,프레드페리상품군
622,A050401,교복,교복
623,A050501,셔츠,비지니스군
624,A050502,셔츠,셔츠고정행사
625,A050503,셔츠,셔츠단기행사
626,A050601,남성 트랜디,트랜디
627,A050602,남성 트랜디,컨템포러리
628,A050603,남성 트랜디,단기행사
629,A050604,남성 트랜디,어반캐주얼
630,A050605,남성 트랜디,지이크
631,A050606,남성 트랜디,ANDZ
632,A050607,남성 트랜디,엠비오
633,A050608,남성 트랜디,레노마
634,A050609,남성 트랜디,BON
635,A050610,남성 트랜디,코모도스퀘어
636,A050611,남성 트랜디,지오송지오
637,A050612,남성 트랜디,이지오
638,A050613,남성 트랜디,워모
639,A050614,남성 트랜디,TNGT
640,A050615,남성 트랜디,킨록by킨록앤더슨
641,A050616,남성 트랜디,TI포맨
642,A050617,남성 트랜디,커스텀멜로우
643,A050618,남성 트랜디,시리즈
644,A050619,남성 트랜디,레드옥스
645,A050620,남성 트랜디,S+by트루젠
646,A050621,남성 트랜디,리버클래시
647,A050622,남성 트랜디,DKNY
648,A050623,남성 트랜디,IMZ프리미엄
649,A050624,남성 트랜디,반하트디알바자
650,A050625,남성 트랜디,솔리드옴므
651,A050626,남성 트랜디,질스튜어트NY
652,A050627,남성 트랜디,캘빈클라인
653,A050628,남성 트랜디,클럽모나코
654,A050629,남성 트랜디,타임옴므
655,A050630,남성 트랜디,휴고보스
656,A050631,남성 트랜디,PAT
657,A050632,남성 트랜디,바버 상품군
658,A060101,스포츠,백팩편집
659,A060102,스포츠,아웃도아
660,A060103,스포츠,수영복
661,A060104,스포츠,휘트니스
662,A060105,스포츠,가 방
663,A060106,스포츠,운동용품
664,A060108,스포츠,스키
665,A060109,스포츠,고정행사(레져)
666,A060110,스포츠,단기행사(레져)
667,A060111,스포츠,선글라스
668,A060112,스포츠,시즌수영복
669,A060113,스포츠,등산화
670,A060114,스포츠,L/C 아웃도어
671,A060115,스포츠,직수입 아웃도어
672,A060116,스포츠,노스페이스
673,A060117,스포츠,에이글
674,A060118,스포츠,코오롱스포츠
675,A060119,스포츠,K2
676,A060120,스포츠,K2플라이워크
677,A060121,스포츠,아이더
678,A060123,스포츠,마모트
679,A060124,스포츠,마운티아
680,A060125,스포츠,컬럼비아
681,A060126,스포츠,마운틴하드웨어
682,A060127,스포츠,네파
683,A060129,스포츠,밀레
684,A060130,스포츠,라푸마
685,A060131,스포츠,슈나이더
686,A060132,스포츠,머렐
687,A060134,스포츠,디스커버리
688,A060135,스포츠,몽벨
689,A060136,스포츠,바이클로
690,A060137,스포츠,센터폴
691,A060138,스포츠,트렉스타(의)
692,A060139,스포츠,트렉스타(신)
693,A060141,스포츠,콜핑
694,A060142,스포츠,카리모어
695,B050602,약초,기타약초
696,B050603,약초,더덕
697,B050604,약초,백련초
698,B050605,약초,황기
699,B050606,약초,구기자
700,B050607,약초,둥글레
701,B050701,양념류,대파
702,B050702,양념류,양파
703,B050703,양념류,깐마늘
704,B050704,양념류,생강
705,B050705,양념류,건고추
706,B050706,양념류,기타양념
707,B050707,양념류,쪽파
708,B050708,양념류,피마늘
709,B050709,양념류,마늘쫑
710,B050710,양념류,양념류 선물세트
711,B050801,식자재,식자재
712,B050901,친환경채소,친환경쌈채소
713,B050902,친환경채소,친환경뿌리채소
714,B050903,친환경채소,친환경열매채소
715,B050904,친환경채소,친환경샐러드채소
716,B050905,친환경채소,친환경양념채소
717,B050906,친환경채소,친환경잎채소
718,B051001,김치채소,친환경김치채소
719,B051002,김치채소,배추
720,B051003,김치채소,얼갈이
721,B051004,김치채소,열무
722,B051005,김치채소,무우
723,B051006,김치채소,갓
724,B051007,김치채소,알타리무
725,B051101,온라인잎/샐러드채소,온라인잎채소
726,B051201,LOCAL잎채소,Local근대
727,B051202,LOCAL잎채소,Local기타잎채소
728,B051203,LOCAL잎채소,Local깻잎
729,B051204,LOCAL잎채소,Local미나리
730,B051205,LOCAL잎채소,Local부추
731,B051206,LOCAL잎채소,Local상추
732,B051207,LOCAL잎채소,Local시금치
733,B051208,LOCAL잎채소,Local쌈채소
734,B051209,LOCAL잎채소,Local쑥갓
735,B051210,LOCAL잎채소,Local아욱
736,B051211,LOCAL잎채소,Local양배추
737,B051301,LOCAL김치채소,Local갓
738,B051302,LOCAL김치채소,Local무우
739,B051303,LOCAL김치채소,Local배추
740,B051304,LOCAL김치채소,Local얼갈이
741,B051305,LOCAL김치채소,Local열무
742,B051401,샐러드/간편채소,간편구색
743,B051402,샐러드/간편채소,간편양념
744,B051403,샐러드/간편채소,드레싱
745,B051404,샐러드/간편채소,샐러드
746,B060101,대중선어,대구
747,B060102,대중선어,우럭
748,B060103,대중선어,도미
749,B060104,대중선어,조기
750,B060105,대중선어,고등어
751,B060106,대중선어,갈치
752,B060107,대중선어,꽁치
753,B060108,대중선어,명태
754,B060109,대중선어,가자미
755,B060110,대중선어,삼치
756,B060111,대중선어,임연수
757,B060112,대중선어,아귀
758,B060113,대중선어,병어
759,B060114,대중선어,게
760,B060115,대중선어,구색선어
761,B060116,대중선어,오징어류
762,B060117,대중선어,민어
763,B060118,대중선어,연어
764,B060201,냉동수산물,굴비
765,B060202,냉동수산물,반건생선
766,B060203,냉동수산물,냉동포장
767,B060301,생선선물세트,선어세트
768,B060302,생선선물세트,해물선물세트
769,B060303,생선선물세트,굴비세트
770,B060401,고등어/삼치,국산고등어
771,B060402,고등어/삼치,국산고등어자반
772,B060403,고등어/삼치,국산삼치
773,B060501,대구,국산대구
774,B060601,도미/민어,국산도미
775,B060602,도미/민어,국산민어
776,B060701,기타구색생선,국산청어
777,B060702,기타구색생선,국산금태
778,B060703,기타구색생선,국산우럭
779,B060704,기타구색생선,국산임연수어
780,B060705,기타구색생선,국산아귀
781,B060706,기타구색생선,국산병어
782,B060707,기타구색생선,국산기타구색생선
